iter	Passed	Remaining
0	57	57931
1	58	29086
2	58	19464
3	59	14702
4	59	11828
5	59	9892
6	59	8508
7	60	7470
8	60	6670
9	60	6029
10	61	5501
11	61	5058
12	61	4686
13	62	4373
14	62	4094
15	62	3850
16	62	3634
17	63	3445
18	63	3274
19	63	3119
20	63	2979
21	64	2852
22	64	2736
23	64	2630
24	64	2531
25	65	2441
26	65	2359
27	65	2281
28	65	2208
29	66	2140
30	66	2078
31	66	2019
32	67	1963
33	67	1912
34	67	1862
35	67	1815
36	68	1771
37	68	1729
38	68	1689
39	68	1653
40	69	1616
41	69	1582
42	69	1550
43	69	1519
44	70	1491
45	70	1462
46	70	1436
47	71	1410
48	71	1385
49	71	1361
50	71	1337
51	72	1315
52	72	1293
53	72	1272
54	72	1253
55	73	1233
56	73	1214
57	73	1196
58	73	1179
59	74	1162
60	74	1146
61	74	1130
62	74	1115
63	75	1100
64	75	1086
65	75	1072
66	76	1058
67	76	1043
68	76	1030
69	76	1018
70	76	1006
71	77	994
72	77	982
73	77	971
74	77	961
75	78	951
76	78	941
77	78	931
78	79	921
79	79	912
80	79	902
81	79	893
82	80	884
83	80	876
84	80	866
85	80	858
86	80	849
87	81	841
88	81	833
89	81	826
90	82	819
91	82	811
92	82	804
93	82	797
94	83	790
95	83	784
96	83	777
97	83	771
98	84	764
99	84	758
100	84	752
101	84	745
102	84	739
103	85	734
104	85	728
105	85	723
106	86	718
107	86	713
108	86	709
109	87	704
110	87	699
111	87	693
112	87	689
113	88	684
114	88	679
115	88	674
116	88	670
117	89	665
118	89	661
119	89	656
120	89	652
121	90	648
122	90	643
123	90	639
124	90	635
125	91	631
126	91	627
127	91	623
128	91	620
129	92	616
130	92	612
131	92	608
132	92	605
133	93	601
134	93	598
135	93	594
136	93	591
137	94	587
138	94	585
139	94	582
140	95	579
141	95	575
142	95	572
143	95	569
144	96	566
145	96	563
146	96	560
147	96	557
148	97	554
149	97	551
150	97	548
151	97	545
152	98	543
153	98	540
154	98	537
155	98	535
156	99	532
157	99	530
158	99	527
159	100	525
160	100	522
161	100	519
162	100	517
163	101	515
164	101	512
165	101	510
166	101	508
167	102	505
168	102	503
169	102	501
170	102	499
171	103	498
172	103	496
173	104	494
174	104	491
175	104	489
176	104	487
177	105	485
178	105	483
179	105	481
180	105	478
181	106	476
182	106	474
183	106	472
184	106	470
185	107	468
186	107	466
187	107	464
188	107	462
189	108	460
190	108	458
191	108	457
192	108	455
193	109	453
194	109	451
195	109	450
196	109	448
197	110	446
198	110	444
199	110	442
200	110	441
201	111	439
202	111	437
203	111	436
204	112	434
205	112	432
206	112	431
207	112	429
208	113	427
209	113	426
210	113	424
211	113	423
212	114	421
213	114	420
214	114	418
215	114	417
216	115	415
217	115	414
218	115	412
219	116	411
220	116	410
221	116	408
222	116	407
223	117	405
224	117	404
225	117	403
226	117	401
227	118	400
228	118	399
229	118	398
230	119	396
231	119	395
232	119	394
233	119	392
234	120	391
235	120	390
236	120	388
237	121	387
238	121	386
239	121	384
240	121	383
241	121	382
242	122	380
243	122	379
244	122	378
245	123	377
246	123	375
247	123	374
248	123	373
249	124	372
250	124	371
251	124	369
252	124	368
253	125	367
254	125	366
255	125	365
256	125	364
257	126	363
258	126	361
259	126	360
260	127	359
261	127	358
262	127	357
263	127	356
264	128	355
265	128	354
266	128	352
267	129	352
268	129	351
269	129	350
270	129	349
271	130	348
272	130	348
273	131	348
274	131	347
275	132	346
276	132	345
277	132	344
278	132	343
279	133	342
280	133	341
281	133	340
282	133	339
283	134	338
284	134	337
285	134	336
286	134	335
287	135	334
288	135	333
289	135	332
290	136	331
291	136	330
292	136	329
293	136	328
294	137	327
295	137	326
296	137	325
297	137	325
298	138	324
299	138	323
300	138	322
301	139	321
302	139	320
303	139	319
304	139	318
305	140	317
306	140	316
307	140	316
308	140	315
309	141	314
310	141	313
311	141	312
312	141	311
313	142	310
314	142	309
315	142	308
316	142	308
317	143	307
318	143	306
319	143	305
320	144	304
321	144	303
322	144	302
323	144	302
324	145	301
325	145	300
326	145	299
327	145	298
328	146	298
329	146	297
330	146	296
331	146	295
332	147	294
333	147	294
334	147	293
335	148	292
336	148	291
337	148	291
338	148	290
339	149	289
340	150	290
341	150	289
342	150	288
343	151	288
344	151	287
345	151	286
346	151	285
347	152	285
348	152	284
349	153	285
350	154	285
351	154	284
352	154	284
353	155	283
354	155	282
355	155	282
356	156	281
357	156	280
358	156	279
359	156	279
360	157	278
361	157	277
362	157	277
363	158	276
364	158	275
365	158	275
366	159	274
367	159	273
368	159	272
369	159	272
370	160	271
371	160	270
372	160	269
373	160	269
374	161	268
375	161	267
376	161	267
377	161	266
378	162	265
379	162	265
380	162	264
381	163	263
382	163	263
383	163	262
384	163	261
385	164	261
386	164	260
387	164	259
388	165	259
389	165	258
390	165	257
391	165	257
392	166	256
393	166	255
394	166	255
395	166	254
396	167	253
397	167	253
398	167	252
399	168	252
400	168	251
401	168	250
402	168	250
403	169	249
404	169	248
405	169	248
406	169	247
407	170	246
408	170	246
409	170	245
410	170	244
411	171	244
412	171	243
413	171	242
414	171	242
415	172	241
416	172	241
417	172	240
418	172	239
419	173	239
420	173	238
421	174	238
422	174	237
423	174	237
424	174	236
425	175	236
426	175	235
427	175	234
428	176	234
429	176	233
430	176	233
431	176	232
432	177	232
433	177	231
434	177	230
435	178	230
436	178	229
437	178	229
438	178	228
439	179	228
440	179	227
441	179	226
